   n, bubble_cmp, bubble_swaps, bubble_time, insertion_cmp, insertion_swaps, insertion_time, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time
 423,           ,             ,            ,         44572,           44155,          76794,     6076,       3322,      5984,      6174,        1168,      16957
 424,           ,             ,            ,         44961,           44543,          75794,     6092,       3332,      5982,      6558,        1182,      16954
 425,           ,             ,            ,         45218,           44799,          76794,     6108,       3336,      5984,      6361,        1172,      15957
 426,           ,             ,            ,         45420,           45000,          75798,     6148,       3366,      4986,      6154,        1224,      15955
 427,           ,             ,            ,         45482,           45061,          76795,     6129,       3360,      5983,      6227,        1185,      15957
 428,           ,             ,            ,         45531,           45109,          75798,     6164,       3373,      5984,      6481,        1198,      16953
 429,           ,             ,            ,         45699,           45276,          76794,     6184,       3376,      6982,      6469,        1194,      16955
 430,           ,             ,            ,         45713,           45289,          75795,     6199,       3389,      5983,      6666,        1188,      16956
 431,           ,             ,            ,         45755,           45330,          76792,     6225,       3394,      5982,      6615,        1182,      16956
 432,           ,             ,            ,         45808,           45382,          77790,     6232,       3404,      5983,      6604,        1181,      17952
 433,           ,             ,            ,         46132,           45705,          77793,     6256,       3413,      5984,      6814,        1190,      16954
 434,           ,             ,            ,         46327,           45899,          78789,     6270,       3424,      5984,      6623,        1195,      16954
 435,           ,             ,            ,         46383,           45954,          78788,     6271,       3428,      5986,      6384,        1228,      16953
 436,           ,             ,            ,         46533,           46103,          79770,     6314,       3448,      6004,      6293,        1191,      16951
 437,           ,             ,            ,         46714,           46283,          80765,     6325,       3449,      5985,      6461,        1207,      16954
 438,           ,             ,            ,         46827,           46395,          79787,     6343,       3461,      5983,      6430,        1227,      16953
 439,           ,             ,            ,         46950,           46517,          78789,     6346,       3467,      5984,      6409,        1221,      16953
 440,           ,             ,            ,         46984,           46550,          79787,     6371,       3482,      5984,      6609,        1206,      17956
 441,           ,             ,            ,         47226,           46791,          80800,     6396,       3477,      5963,      6538,        1242,      23937
 442,           ,             ,            ,         47280,           46844,          79784,     6427,       3509,      5984,      6316,        1228,      16954
 443,           ,             ,            ,         47294,           46857,          80785,     6440,       3517,      6013,      6344,        1235,      17940
 444,           ,             ,            ,         47481,           47043,          80765,     6443,       3508,      5985,      6428,        1255,      17950
 445,           ,             ,            ,         47907,           47468,          79787,     6458,       3525,      4986,      6705,        1265,      16953
 446,           ,             ,            ,         48298,           47858,          81782,     6507,       3555,      5983,      6707,        1244,      16975
 447,           ,             ,            ,         48726,           48285,          81780,     6484,       3535,      5984,      6714,        1254,      17951
 448,           ,             ,            ,         49080,           48638,          82778,     6512,       3545,      5984,      6820,        1236,      17951
 449,           ,             ,            ,         49407,           48964,          82780,     6526,       3550,      5984,      6706,        1243,      17950
 450,           ,             ,            ,         49779,           49335,          83777,     6544,       3557,      5983,      6868,        1231,      17951
 451,           ,             ,            ,         50229,           49784,          85762,     6576,       3586,      6979,      7108,        1243,      18948
 452,           ,             ,            ,         50238,           49792,          85817,     6597,       3597,      5942,      6808,        1247,      18943
 453,           ,             ,            ,         50362,           49915,          86770,     6629,       3617,      5984,      6416,        1258,      17963
 454,           ,             ,            ,         50539,           50091,          86741,     6639,       3619,      5977,      6572,        1279,      18959
 455,           ,             ,            ,         50705,           50256,          86754,     6639,       3618,      5984,      6575,        1284,      18949
