    n, bubble_cmp, bubble_swaps, bubble_time, insertion_cmp, insertion_swaps, insertion_time, heap_cmp, heap_swaps, heap_time, quick_cmp, quick_swaps, quick_time
  140,       9730,         5362,       12965,          5493,            5362,           8976,     1562,        868,      1996,      1591,         344,       1996
  141,       9870,         5444,       11968,          5576,            5444,           8974,     1573,        872,      1993,      1713,         333,       3020
  142,      10011,         5581,       11941,          5714,            5581,           9973,     1587,        883,      1993,      1748,         354,       1995
  143,      10153,         5714,       12965,          5848,            5714,           9972,     1607,        892,       998,      1708,         356,       1976
  144,      10296,         5760,       13994,          5895,            5760,          10939,     1619,        904,       998,      1721,         356,       2991
  145,      10440,         5857,       12972,          5993,            5857,          10970,     1636,        907,       989,      1681,         360,       2993
  146,      10585,         5989,       12963,          6126,            5989,           9974,     1657,        923,      1993,      1700,         368,       2992
  147,      10731,         6096,       12986,          6234,            6096,           9950,     1652,        918,       997,      1653,         356,       2991
  148,      10878,         6166,       13961,          6305,            6166,           9974,     1686,        936,      2012,      1753,         357,       2973
  149,      11026,         6286,       15957,          6426,            6286,          10970,     1679,        930,      1993,      1797,         374,       2992
  150,      11175,         6315,       16955,          6456,            6315,          10969,     1699,        945,       997,      1739,         364,       2991
  151,      11325,         6455,       13961,          6597,            6455,          10970,     1716,        945,      1995,      1777,         371,       2993
  152,      11476,         6494,       13982,          6637,            6494,          10991,     1728,        958,       976,      1872,         383,       2988
  153,      11628,         6609,       14959,          6753,            6609,          10969,     1749,        973,      2028,      1848,         374,       2958
  154,      11781,         6641,       13962,          6786,            6641,          10961,     1755,        973,      1994,      1918,         372,       2991
  155,      11935,         6685,       14960,          6831,            6685,          10970,     1782,        989,      1994,      1893,         381,       2993
  156,      12090,         6785,       14959,          6932,            6785,          11968,     1791,        991,       997,      1962,         377,       4007
  157,      12246,         6794,       15938,          6942,            6794,          11968,     1809,       1000,       996,      1918,         378,       3990
  158,      12403,         6885,       14958,          7034,            6885,          11973,     1826,       1007,       992,      2026,         388,       3989
  159,      12561,         6930,       14984,          7080,            6930,          11944,     1833,       1016,      2014,      1941,         410,       2971
  160,      12720,         7013,       16952,          7164,            7013,          11969,     1845,       1023,      1994,      1984,         409,       2992
  161,      12880,         7032,       15956,          7184,            7032,          11967,     1860,       1030,       997,      2060,         401,       2992
  162,      13041,         7059,       15957,          7212,            7059,          11970,     1877,       1035,      1993,      1979,         396,       3990
  163,      13203,         7216,       15959,          7370,            7216,          11965,     1881,       1042,      1994,      2030,         411,       3989
  164,      13366,         7295,       15982,          7450,            7295,          12940,     1901,       1059,      2008,      2018,         411,       2978
  165,      13530,         7362,       16955,          7518,            7362,          11968,     1909,       1050,      1993,      1937,         412,       4010
  166,      13695,         7374,       16933,          7531,            7374,          11968,     1918,       1056,       996,      2119,         417,       2991
  167,      13861,         7507,       16954,          7665,            7507,          11969,     1944,       1071,       996,      2075,         413,       3989
  168,      14028,         7547,       16989,          7706,            7547,          12930,     1963,       1083,      1996,      2109,         426,       3987
  169,      14196,         7709,       16986,          7869,            7709,          12933,     1969,       1093,      1994,      2097,         432,       3989
  170,      14365,         7859,       16953,          8020,            7859,          12965,     1989,       1097,      1994,      2060,         431,       3989
  171,      14535,         7897,       20944,          8059,            7897,          12965,     2003,       1101,       979,      2095,         423,       2977
  172,      14706,         8067,       17948,          8230,            8067,          14961,     2023,       1111,      1995,      2019,         435,       3010
  173,      14878,         8113,       18930,          8277,            8113,          13960,     2047,       1131,      1994,      2177,         441,       3989
  174,      15051,         8119,       17951,          8284,            8119,          12966,     2062,       1139,      1994,      2158,         443,       3989
  175,      15225,         8258,       18947,          8424,            8258,          13962,     2074,       1136,      1994,      2090,         443,       3989
  176,      15400,         8373,       17951,          8540,            8373,          14961,     2091,       1153,      2019,      2161,         435,       3964
  177,      15576,         8503,       18950,          8671,            8503,          14959,     2090,       1149,      1995,      2176,         439,       2991
  178,      15753,         8547,       19947,          8716,            8547,          14959,     2101,       1145,      1994,      2189,         450,       3011
  179,      15931,         8710,       19927,          8880,            8710,          14960,     2114,       1166,      1993,      2238,         447,       4021
  180,      16110,         8760,       18918,          8931,            8760,          14982,     2133,       1180,      1971,      2264,         464,       3990
  181,      16290,         8859,       19955,          9031,            8859,          14953,     2149,       1189,      1991,      2347,         464,       3989
  182,      16471,         8907,       19946,          9080,            8907,          14992,     2166,       1197,      1988,      2227,         458,       3963
  183,      16653,         8986,       19946,          9160,            8986,          14998,     2172,       1200,      1960,      2250,         462,       4983
  184,      16836,         9113,       19946,          9288,            9113,          14960,     2189,       1205,      2013,      2281,         466,       2992
  185,      17020,         9274,       19922,          9450,            9274,          15967,     2207,       1220,      1984,      2220,         475,       3988
  186,      17205,         9429,       20970,          9606,            9429,          15931,     2230,       1229,      1994,      2402,         470,       3989
  187,      17391,         9563,       20944,          9741,            9563,          15957,     2232,       1239,      1993,      2302,         490,       3989
  188,      17578,         9650,       20976,          9829,            9650,          15956,     2260,       1238,      1996,      2345,         490,       3988
  189,      17766,         9679,       21967,          9859,            9679,          15930,     2247,       1221,      1995,      2435,         489,       3989
  190,      17955,         9829,       21940,         10010,            9829,          16956,     2277,       1247,      2015,      2434,         472,       3967
  191,      18145,         9986,       22937,         10168,            9986,          16984,     2302,       1266,      1965,      2462,         480,       4986
  192,      18336,        10132,       22939,         10315,           10132,          16983,     2323,       1280,      1997,      2399,         494,       4955
  193,      18528,        10168,       22938,         10352,           10168,          18960,     2328,       1280,      1981,      2361,         490,       3990
  194,      18721,        10349,       22938,         10534,           10349,          17952,     2339,       1289,      2991,      2472,         502,       3989
  195,      18915,        10426,       22938,         10612,           10426,          20943,     2356,       1302,      1994,      2527,         504,       3989
  196,      19110,        10611,       23937,         10798,           10611,          17952,     2359,       1293,      1994,      2588,         506,       3989
  197,      19306,        10617,       24934,         10805,           10617,          17952,     2381,       1317,      1994,      2470,         504,       4986
  198,      19503,        10723,       23933,         10912,           10723,          17954,     2396,       1319,      2991,      2614,         505,       3989
  199,      19701,        10914,       23935,         11104,           10914,          18949,     2411,       1330,      1994,      2512,         514,       4987
